Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2015,00:00,46,2.8,21.1,26.9,84.2,0.0,,0.000,5.1,0.0
01/01/2015,01:00,39,2.0,25.4,26.5,85.3,0.0,,0.000,4.4,0.6
01/01/2015,02:00,43,2.0,22.9,26.3,86.1,0.0,,,6.2,1.4
01/01/2015,03:00,37,1.6,20.4,26.2,86.2,0.0,,0.000,8.4,2.9
01/01/2015,04:00,47,1.6,20.7,26.3,86.0,0.0,,0.000,6.4,2.4
01/01/2015,05:00,57,2.2,19.4,26.7,84.7,0.0,,0.000,14.9,3.3
01/01/2015,06:00,60,3.4,19.0,27.6,79.1,0.0,,0.000,4.7,2.8
01/01/2015,07:00,50,3.1,23.2,28.2,76.0,0.0,,0.000,18.2,2.7
01/01/2015,08:00,55,3.3,22.8,28.6,73.0,0.0,,0.000,10.4,1.0
01/01/2015,09:00,59,3.5,18.7,28.7,73.1,0.0,,0.000,13.3,2.1
01/01/2015,10:00,52,3.4,25.8,29.9,69.0,0.0,,0.000,20.8,2.1
01/01/2015,11:00,56,3.7,26.6,29.9,68.5,0.0,,0.000,23.4,2.8
01/01/2015,12:00,58,3.5,24.8,30.2,67.7,0.0,,0.000,12.7,-0.7
01/01/2015,13:00,45,3.8,26.4,30.2,67.6,0.0,,0.000,24.1,0.1
01/01/2015,14:00,56,4.1,22.4,30.0,66.8,0.0,,0.000,,
01/01/2015,15:00,55,4.2,22.3,29.6,66.8,0.0,,0.000,11.3,1.1
01/01/2015,16:00,51,4.3,18.4,28.9,67.8,0.0,,0.000,4.9,0.5
01/01/2015,17:00,51,3.6,18.6,28.1,71.5,0.0,,0.000,13.0,3.5
01/01/2015,18:00,47,3.5,18.2,27.3,76.0,0.0,,0.000,11.5,3.1
01/01/2015,19:00,45,3.1,22.3,26.9,77.5,0.0,,0.000,9.2,3.7
01/01/2015,20:00,37,2.8,24.8,26.7,77.5,0.0,,0.000,8.0,2.6
01/01/2015,21:00,51,2.8,19.8,26.7,77.6,0.0,,0.000,8.4,1.3
01/01/2015,22:00,52,3.1,17.6,26.5,78.6,0.0,,0.000,7.3,-0.4
01/01/2015,23:00,36,2.3,20.3,26.3,80.4,0.0,,0.000,9.6,-0.2
02/01/2015,00:00,32,2.1,23.9,26.2,80.8,0.0,,0.000,3.4,0.0
02/01/2015,01:00,36,2.2,21.5,26.0,82.0,0.0,,0.000,13.3,0.7
02/01/2015,02:00,38,2.6,20.5,25.9,82.1,0.0,,,5.6,0.1
02/01/2015,03:00,40,2.4,20.2,25.8,81.8,0.0,,0.000,8.1,2.0
02/01/2015,04:00,40,2.2,21.0,25.7,82.1,0.0,,0.000,10.7,2.3
02/01/2015,05:00,37,2.0,24.2,26.0,81.0,0.0,,0.000,19.7,4.3
02/01/2015,06:00,48,2.4,24.6,27.3,75.6,0.0,,0.000,13.7,3.6
02/01/2015,07:00,58,3.3,22.6,28.1,70.4,0.0,,0.000,9.4,4.9
02/01/2015,08:00,60,3.5,21.1,28.2,68.8,0.0,,0.000,18.4,2.3
